trip_uuid,route_type,trip_creation_time,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,segment_actual_time,segment_osrm_time,segment_osrm_distance,source_state,destination_state,source_city_code,destination_city_code,trip_duration_minutes,trip_duration_hours,osrm_error,delay_percentage,delay_flag,is_interstate,corridor_id,distance_category,creation_year,creation_month,creation_day,creation_day_name,is_weekend,creation_hour,creation_quarter,route_efficiency,time_efficiency
trip-153671041653548748,FTL,2018-09-12 00:00:16.535741,IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-12 00:00:16.535741,2018-09-13 13:40:23.123744,43659.0,8860.812105009027,15682.0,7787.0,10577.7647,1548.0,1008.0,1320.4733,Madhya Pradesh,Haryana,Bhopal,Gurgaon,2260.10980005,37.6684966675,7895.0,101.38692692949789,1,True,Madhya Pradesh_Haryana,600+km,2018,9,12,Wednesday,False,0,3,0.8376828523146319,2.013869269294979
trip-153671042288605164,Carting,2018-09-12 00:00:22.886430,IND572101AAA,Tumkur_Veersagr_I (Karnataka),IND562101AAA,Chikblapur_ShntiSgr_D (Karnataka),2018-09-12 00:00:22.886430,2018-09-12 03:01:59.598855,906.0,240.20830603708174,399.0,210.0,269.4308,141.0,65.0,84.18939999999999,Karnataka,Karnataka,Tumkur,Chikblapur,181.61187375,3.0268645625,189.0,90.0,1,False,Karnataka_Karnataka,100-300km,2018,9,12,Wednesday,False,0,3,0.8915398908999334,1.9
trip-153671043369099517,FTL,2018-09-12 00:00:33.691250,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),2018-09-12 00:00:33.691250,2018-09-14 17:34:55.442454,248631.0,68163.50223766381,112225.0,65768.0,89447.2488,3308.0,1941.0,2545.2678,Karnataka,Punjab,Bangalore,Chandigarh,3934.3625200666665,65.57270866777777,46457.0,70.6376961440214,1,True,Karnataka_Punjab,600+km,2018,9,12,Wednesday,False,0,3,0.7620525298667856,1.706376961440214
trip-153671046011330457,Carting,2018-09-12 00:01:00.113710,IND400072AAB,Mumbai Hub (Maharashtra),IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),2018-09-12 00:01:00.113710,2018-09-12 01:41:29.809822,200.0,28.529648250610727,82.0,24.0,31.6475,59.0,16.0,19.8766,Maharashtra,Maharashtra,Mumbai,Mumbai,100.4949352,1.6749155866666667,58.0,241.66666666666666,1,False,Maharashtra_Maharashtra,0-100km,2018,9,12,Wednesday,False,0,3,0.9014818943237451,3.4166666666666665
trip-153671052974046625,FTL,2018-09-12 00:02:09.740725,IND583101AAA,Bellary_Dc (Karnataka),IND583101AAA,Bellary_Dc (Karnataka),2018-09-12 00:02:09.740725,2018-09-12 12:00:30.683231,1586.0,239.00730398495838,556.0,207.0,266.2914,340.0,115.0,146.7919,Karnataka,Karnataka,Bellary,Bellary,718.3490417666667,11.972484029444445,349.0,168.5990338164251,1,False,Karnataka_Karnataka,100-300km,2018,9,12,Wednesday,False,0,3,0.8975404537471295,2.685990338164251
trip-153671055416136166,Carting,2018-09-12 00:02:34.161600,IND600116AAB,Chennai_Porur_DPC (Tamil Nadu),IND602105AAB,Chennai_Sriperumbudur_Dc (Tamil Nadu),2018-09-12 00:02:34.161600,2018-09-12 03:13:03.432532,249.0,34.407865152332604,92.0,30.0,38.1953,60.0,23.0,28.0647,Tamil Nadu,Tamil Nadu,Chennai,Chennai,190.48784886666667,3.1747974811111113,62.0,206.66666666666669,1,False,Tamil Nadu_Tamil Nadu,0-100km,2018,9,12,Wednesday,False,0,3,0.9008402906203801,3.066666666666667
trip-153671066201138152,Carting,2018-09-12 00:04:22.011653,IND600044AAD,Chennai_Chrompet_DPC (Tamil Nadu),IND600048AAA,Chennai_Vandalur_Dc (Tamil Nadu),2018-09-12 00:04:22.011653,2018-09-12 01:42:22.349694,98.0,9.100509891191914,24.0,13.0,12.0184,24.0,13.0,12.0184,Tamil Nadu,Tamil Nadu,Chennai,Chennai,98.00563401666666,1.633427233611111,11.0,84.61538461538461,1,False,Tamil Nadu_Tamil Nadu,0-100km,2018,9,12,Wednesday,False,0,3,0.7572147616314913,1.8461538461538463
trip-153671066826362165,Carting,2018-09-12 00:04:28.263977,IND560043AAC,HBR Layout PC (Karnataka),IND560043AAC,HBR Layout PC (Karnataka),2018-09-12 00:04:28.263977,2018-09-12 03:00:55.163423,292.0,41.83485747896269,122.0,65.0,54.297799999999995,64.0,34.0,28.9203,Karnataka,Karnataka,HBR,HBR,176.44832409999998,2.9408054016666663,57.0,87.6923076923077,1,False,Karnataka_Karnataka,0-100km,2018,9,12,Wednesday,False,0,3,0.7704705803727351,1.876923076923077
trip-153671074033284934,Carting,2018-09-12 00:05:40.333071,IND395023AAD,Surat_Central_I_4 (Gujarat),IND395023AAD,Surat_Central_I_4 (Gujarat),2018-09-12 00:05:40.333071,2018-09-12 05:16:28.581141,560.0,44.08471195155444,306.0,50.0,53.8577,161.0,29.0,30.9358,Gujarat,Gujarat,Surat,Surat,310.80413450000003,5.180068908333334,256.0,512.0,1,False,Gujarat_Gujarat,0-100km,2018,9,12,Wednesday,False,0,3,0.8185405606172272,6.12
trip-153671079956500691,Carting,2018-09-12 00:06:39.565253,IND110024AAA,Delhi_Lajpat_IP (Delhi),IND110014AAA,Delhi_Bhogal (Delhi),2018-09-12 00:06:39.565253,2018-09-12 00:55:59.568645,98.0,19.282604923659747,35.0,16.0,19.9606,23.0,14.0,16.086,Delhi,Delhi,Delhi,Delhi,49.33338986666667,0.8222231644444445,19.0,118.75,1,False,Delhi_Delhi,0-100km,2018,9,12,Wednesday,False,0,3,0.9660333318467255,2.1875
